########################################## 03/11/2014 23:42 ##########################################
Multilayer Perceptron Backpropagation - Matrices de orden 4
 ELEMENTOS DE ENTRENAMIENTO = 700
 ELEMENTOS DE VALIDACION = 105
 ELEMENTOS DE TEST = 300
------------------------------------------------------------------------------------------
 @ PERCEPTRON MULTICAPA 
   * UMBRAL DE ERROR : 0.01
   * NEURONAS DE ENTRADA : 6
   * NEURONAS OCULTAS    : 80
   * NEURONAS DE SALIDA  : 6
   * FACTOR DE APRENDIZAJE : 1.0E-4
   * MOMENTUM : 0.01
------------------------------------------------------------------------------------------
   Iteracion #1 Error:0.2807195295537779
   Iteracion #1000 Error:0.061142339983977285
   Iteracion #2000 Error:0.06018453257981832
   Iteracion #3000 Error:0.059972905526002436
   Iteracion #4000 Error:0.05989850933302612
   Iteracion #5000 Error:0.05986301028452589
   Iteracion #6000 Error:0.059841719065706386
   Iteracion #7000 Error:0.059826471840328466
   Iteracion #8000 Error:0.05981408192313028
   Iteracion #9000 Error:0.059803159797414567
   Iteracion #10000 Error:0.05979304842347612
   Iteracion #11000 Error:0.0597834165035381
   Iteracion #12000 Error:0.059774087514859076
   Iteracion #13000 Error:0.05976496247232041
   Iteracion #14000 Error:0.0597559830117532
   Iteracion #15000 Error:0.05974711291257022
   Iteracion #16000 Error:0.0597383284760096
   Iteracion #17000 Error:0.05972961333450594
   Iteracion #18000 Error:0.0597209555598663
   Iteracion #19000 Error:0.05971234600406007
   Iteracion #20000 Error:0.05970377732151422
   Iteracion #21000 Error:0.05969524337907847
   Iteracion #22000 Error:0.059686738892313164
   Iteracion #23000 Error:0.05967825919699803
   Iteracion #24000 Error:0.0596698001030739
   Iteracion #25000 Error:0.059661357799693324
   Iteracion #26000 Error:0.05965292879239922
   Iteracion #27000 Error:0.059644509860715296
   Iteracion #28000 Error:0.05963609802880259
   Iteracion #29000 Error:0.05962769054451535
   Iteracion #30000 Error:0.05961928486385783
   Iteracion #31000 Error:0.05961087863890015
   Iteracion #32000 Error:0.059602469707887476
   Iteracion #33000 Error:0.05959405608671494
   Iteracion #34000 Error:0.05958563596122632
   Iteracion #35000 Error:0.05957720767998957
   Iteracion #36000 Error:0.05956876974732413
